Name,Paper Date,paper,hide,type,parameters
LSTM,01/11/1997,http://www.bioinf.jku.at/publications/older/2604.pdf,1,Autoregressive / Transformer,
VAE,20/12/2013,https://arxiv.org/abs/1312.6114,0,Variational Autoencoder,
Encoder Decoder,03/06/2014,https://arxiv.org/abs/1406.1078,1,Autoregressive / Transformer,
GAN,10/06/2014,https://arxiv.org/abs/1406.2661,0,Generative Adversarial Network,
Attention,01/09/2014,https://arxiv.org/abs/1409.0473,1,General,
GRU,03/09/2014,https://arxiv.org/abs/1409.1259,0,Autoregressive / Transformer,
CGAN,06/11/2014,https://arxiv.org/abs/1411.1784,0,Generative Adversarial Network,
Diffusion Process,12/03/2015,https://arxiv.org/abs/1503.03585,1,Energy-Based / Diffusion Models,
UNet,18/05/2015,https://arxiv.org/abs/1505.04597,0,General,
Neural Style,26/08/2015,https://arxiv.org/abs/1508.06576,1,General,
DCGAN,19/11/2015,https://arxiv.org/abs/1511.06434,0,Generative Adversarial Network,
ResNet,10/12/2015,https://arxiv.org/abs/1512.03385,0,General,
VAE-GAN,31/12/2015,https://arxiv.org/abs/1512.09300,0,Variational Autoencoder,
Self Attention,25/01/2016,https://arxiv.org/abs/1601.06733,1,Autoregressive / Transformer,
PixelRNN,25/01/2016,https://arxiv.org/abs/1601.06759,0,Autoregressive / Transformer,
RealNVP,27/05/2016,https://arxiv.org/abs/1605.08803v3,0,Normalizing Flow,
PixelCNN,16/06/2016,https://arxiv.org/abs/1606.05328,0,Autoregressive / Transformer,
pix2pix,21/11/2016,https://arxiv.org/abs/1611.07004,0,Generative Adversarial Network,
Stack GAN,10/12/2016,https://arxiv.org/abs/1612.03242,1,Generative Adversarial Network,
PixelCNN++,19/01/2017,https://arxiv.org/abs/1701.05517,0,Autoregressive / Transformer,
WGAN,26/01/2017,https://arxiv.org/abs/1701.07875,0,Generative Adversarial Network,
CycleGAN,30/03/2017,https://arxiv.org/abs/1703.10593,0,Generative Adversarial Network,
WGAN GP,31/03/2017,https://arxiv.org/abs/1704.00028,1,Generative Adversarial Network,
Transformers,12/06/2017,https://arxiv.org/abs/1706.03762,0,Autoregressive / Transformer,
MuseGAN,19/09/2017,https://arxiv.org/abs/1709.06298,0,Generative Adversarial Network,
ProGAN,27/10/2017,https://arxiv.org/abs/1710.10196,0,Generative Adversarial Network,
VQ-VAE,02/11/2017,https://arxiv.org/abs/1711.00937v2,0,Variational Autoencoder,
World Models,27/03/2018,https://arxiv.org/abs/1803.10122,0,Variational Autoencoder,
SAGAN,21/05/2018,https://arxiv.org/abs/1805.08318v2,0,Generative Adversarial Network,
